Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model;Detected
gap_score2;smith_waterman.c;12;1.818577766418457;0-6;Double bit-flip;1
match_score2;smith_waterman.c;8;1.8049871921539307;0-6;Double bit-flip;1
match_score;smith_waterman.c;7;1.8789021968841553;0-6;Double bit-flip;1
mismatch_score2;smith_waterman.c;10;1.3092594146728516;0-6;Double bit-flip;1
mismatch_score2;smith_waterman.c;10;2.493445634841919;0-6;Double bit-flip;1
match_score2;smith_waterman.c;8;1.1836299896240234;0-6;Double bit-flip;1
match_score;smith_waterman.c;7;1.1983752250671387;0-6;Double bit-flip;1
match_score2;smith_waterman.c;8;5.216649055480957;0-6;Double bit-flip;1
match_score2;smith_waterman.c;8;1.4901776313781738;0-6;Double bit-flip;1
gap_score;smith_waterman.c;11;2.6643917560577393;0-6;Double bit-flip;1
i2;smith_waterman.c;168;1.4172801971435547;0-6;Double bit-flip;1
mismatch_score;smith_waterman.c;9;0.9404497146606445;0-6;Double bit-flip;1
mismatch_score2;smith_waterman.c;10;2.173180103302002;0-6;Double bit-flip;1
gap_score;smith_waterman.c;11;2.300464630126953;0-6;Double bit-flip;1
gap_score2;smith_waterman.c;12;1.9703559875488281;0-6;Double bit-flip;1
mismatch_score;smith_waterman.c;9;1.484570026397705;0-6;Double bit-flip;1
match_score;smith_waterman.c;7;3.367109537124634;0-6;Double bit-flip;1
mismatch_score;smith_waterman.c;9;3.9712300300598145;0-6;Double bit-flip;1
gap_score;smith_waterman.c;11;1.972623586654663;0-6;Double bit-flip;1
match_score2;smith_waterman.c;8;0.3735928535461426;0-6;Double bit-flip;1
gap_score2;smith_waterman.c;12;1.293278694152832;0-6;Double bit-flip;1
j;smith_waterman.c;177;2.8085532188415527;0-6;Double bit-flip;1
match_score;smith_waterman.c;7;2.209604263305664;0-6;Double bit-flip;1
match_score;smith_waterman.c;7;1.0426018238067627;0-6;Double bit-flip;1
gap_score2;smith_waterman.c;12;2.8499715328216553;0-6;Double bit-flip;1
match_score2;smith_waterman.c;8;4.669776439666748;0-6;Double bit-flip;1
gap_score2;smith_waterman.c;12;0.9446356296539307;0-6;Double bit-flip;1
mismatch_score2;smith_waterman.c;10;2.266913890838623;0-6;Double bit-flip;1
mismatch_score;smith_waterman.c;9;1.3863296508789062;0-6;Double bit-flip;1
match_score;smith_waterman.c;7;1.9101383686065674;0-6;Double bit-flip;1
match_score2;smith_waterman.c;8;4.704336643218994;0-6;Double bit-flip;1
gap_score2;smith_waterman.c;12;1.7347705364227295;0-6;Double bit-flip;1
mismatch_score;smith_waterman.c;9;1.8830616474151611;0-6;Double bit-flip;1
gap_score2;smith_waterman.c;12;2.7335894107818604;0-6;Double bit-flip;1
match_score;smith_waterman.c;7;1.8199379444122314;0-6;Double bit-flip;1
j2;smith_waterman.c;177;4.069153070449829;0-6;Double bit-flip;1
gap_score;smith_waterman.c;11;1.0148723125457764;0-6;Double bit-flip;1
gap_score2;smith_waterman.c;12;3.8936893939971924;0-6;Double bit-flip;1
j2;smith_waterman.c;177;3.4993810653686523;0-6;Double bit-flip;1
match_score;smith_waterman.c;7;5.266850471496582;0-6;Double bit-flip;1
mismatch_score;smith_waterman.c;9;0.970001220703125;0-6;Double bit-flip;1
match_score2;smith_waterman.c;8;1.2561116218566895;0-6;Double bit-flip;1
gap_score2;smith_waterman.c;12;2.2766904830932617;0-6;Double bit-flip;1
gap_score2;smith_waterman.c;12;2.108614444732666;0-6;Double bit-flip;1
mismatch_score2;smith_waterman.c;10;1.1435458660125732;0-6;Double bit-flip;1
gap_score;smith_waterman.c;11;1.4389078617095947;0-6;Double bit-flip;1
mismatch_score;smith_waterman.c;9;6.173694133758545;0-6;Double bit-flip;1
match_score;smith_waterman.c;7;2.4192166328430176;0-6;Double bit-flip;1
gap_score2;smith_waterman.c;12;1.1741611957550049;0-6;Double bit-flip;1
gap_score;smith_waterman.c;11;3.524857997894287;0-6;Double bit-flip;1
mismatch_score;smith_waterman.c;9;1.713892936706543;0-6;Double bit-flip;1
i2;smith_waterman.c;168;1.737105369567871;0-6;Double bit-flip;1
match_score2;smith_waterman.c;8;3.1991372108459473;0-6;Double bit-flip;1
mismatch_score;smith_waterman.c;9;0.9376881122589111;0-6;Double bit-flip;1
gap_score2;smith_waterman.c;12;2.545672655105591;0-6;Double bit-flip;1
mismatch_score2;smith_waterman.c;10;5.075736045837402;0-6;Double bit-flip;1
mismatch_score;smith_waterman.c;9;2.060011863708496;0-6;Double bit-flip;1
match_score2;smith_waterman.c;8;0.9325439929962158;0-6;Double bit-flip;1
gap_score;smith_waterman.c;11;4.055238485336304;0-6;Double bit-flip;1
gap_score2;smith_waterman.c;12;0.7508711814880371;0-6;Double bit-flip;1
match_score;smith_waterman.c;7;3.071329116821289;0-6;Double bit-flip;1
match_score;smith_waterman.c;7;3.1841840744018555;0-6;Double bit-flip;1
mismatch_score;smith_waterman.c;9;5.150250196456909;0-6;Double bit-flip;1
match_score2;smith_waterman.c;8;1.7683732509613037;0-6;Double bit-flip;1
gap_score2;smith_waterman.c;12;4.473457336425781;0-6;Double bit-flip;1
mismatch_score;smith_waterman.c;9;2.213252544403076;0-6;Double bit-flip;1
match_score2;smith_waterman.c;8;4.755903005599976;0-6;Double bit-flip;1
match_score;smith_waterman.c;7;3.178630828857422;0-6;Double bit-flip;1
mismatch_score2;smith_waterman.c;10;3.33345627784729;0-6;Double bit-flip;1
match_score;smith_waterman.c;7;3.1418161392211914;0-6;Double bit-flip;1
match_score2;smith_waterman.c;8;5.5321125984191895;0-6;Double bit-flip;1
mismatch_score;smith_waterman.c;9;2.1170272827148438;0-6;Double bit-flip;1
mismatch_score2;smith_waterman.c;10;4.423492431640625;0-6;Double bit-flip;1
match_score2;smith_waterman.c;8;1.4789793491363525;0-6;Double bit-flip;1
match_score;smith_waterman.c;7;2.1939074993133545;0-6;Double bit-flip;1
match_score;smith_waterman.c;7;3.671543836593628;0-6;Double bit-flip;1
mismatch_score;smith_waterman.c;9;0.9774401187896729;0-6;Double bit-flip;1
match_score2;smith_waterman.c;8;1.0357515811920166;0-6;Double bit-flip;1
match_score2;smith_waterman.c;8;3.3820078372955322;0-6;Double bit-flip;1
match_score;smith_waterman.c;7;1.21746826171875;0-6;Double bit-flip;1
match_score;smith_waterman.c;7;1.3363566398620605;0-6;Double bit-flip;1
gap_score2;smith_waterman.c;12;2.648860216140747;0-6;Double bit-flip;1
match_score;smith_waterman.c;7;1.2863447666168213;0-6;Double bit-flip;1
gap_score;smith_waterman.c;11;2.6558468341827393;0-6;Double bit-flip;1
gap_score;smith_waterman.c;11;4.05472207069397;0-6;Double bit-flip;1
match_score2;smith_waterman.c;8;3.870601177215576;0-6;Double bit-flip;1
match_score;smith_waterman.c;7;1.486433744430542;0-6;Double bit-flip;1
match_score2;smith_waterman.c;8;1.6148955821990967;0-6;Double bit-flip;1
match_score2;smith_waterman.c;8;1.978808879852295;0-6;Double bit-flip;1
gap_score2;smith_waterman.c;12;0.5757310390472412;0-6;Double bit-flip;1
match_score2;smith_waterman.c;8;1.630805253982544;0-6;Double bit-flip;1
mismatch_score2;smith_waterman.c;10;1.3703179359436035;0-6;Double bit-flip;1
match_score;smith_waterman.c;7;3.752445936203003;0-6;Double bit-flip;1
match_score;smith_waterman.c;7;1.605760097503662;0-6;Double bit-flip;1
match_score2;smith_waterman.c;8;2.2654123306274414;0-6;Double bit-flip;1
mismatch_score2;smith_waterman.c;10;4.06257176399231;0-6;Double bit-flip;1
match_score2;smith_waterman.c;8;1.0891194343566895;0-6;Double bit-flip;1
gap_score;smith_waterman.c;11;0.93711256980896;0-6;Double bit-flip;1
mismatch_score2;smith_waterman.c;10;3.790796995162964;0-6;Double bit-flip;1
gap_score2;smith_waterman.c;12;2.402916431427002;0-6;Double bit-flip;1
match_score;smith_waterman.c;7;2.880908489227295;0-6;Double bit-flip;1
gap_score2;smith_waterman.c;12;2.7906038761138916;0-6;Double bit-flip;1
mismatch_score;smith_waterman.c;9;1.4912190437316895;0-6;Double bit-flip;1
match_score2;smith_waterman.c;8;3.4625654220581055;0-6;Double bit-flip;1
mismatch_score;smith_waterman.c;9;2.9629433155059814;0-6;Double bit-flip;1
